material,structure,E (eV),V (Ang^3),B (GPa),Bp,Bbar (eV/Ang^3),C,functional
AlAs,zb,-9.388465,47.109412,67.221709,4.346922,0.005942,5.020768,PBE
AlN,zb,-14.851241,21.322223,193.914742,3.979042,0.027273,4.470478,PBE
AlP,zb,-10.377651,41.727982,82.702367,4.178695,0.008983,4.768829,PBE
AlSb,zb,-8.215310,60.530253,49.402165,4.512526,0.003603,5.268000,PBE
BAs,zb,-11.412711,27.944218,131.905894,4.171655,0.014455,4.758188,PBE
BN,zb,-17.458280,11.918425,373.156143,3.702831,0.077624,4.053748,PBE
BP,zb,-12.933444,23.497420,161.973012,3.810886,0.028790,4.216320,PBE
BSb,zb,-10.102557,36.813217,98.302251,4.425353,0.007929,5.137130,PBE
GaAs,zb,-8.273855,47.568323,60.488773,4.718090,0.003510,5.577862,PBE
GaN,zb,-12.154599,23.548844,169.579081,4.454549,0.013219,5.181145,PBE
GaP,zb,-9.125332,41.739138,76.122223,4.525419,0.005471,5.287524,PBE
GaSb,zb,-7.371856,60.070688,44.713568,4.868021,0.002215,5.802947,PBE
InAs,zb,-7.718634,59.280446,48.458051,4.859531,0.002423,5.789310,PBE
InN,zb,-10.689562,32.259873,120.956110,4.696774,0.007190,5.544413,PBE
InP,zb,-8.407822,52.922881,59.275604,4.713784,0.003458,5.570582,PBE
InSb,zb,-6.952720,73.028940,36.776709,4.911133,0.001744,5.866411,PBE
